Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25099,The Sandman Vol. 2: The Doll's House,Neil Gaiman,"Gaiman, Neil","Mike Dringenberg, Malcolm Jones III, Chris Bachalo, Michael Zulli, Steve Parkhouse, Todd Klein, Clive Barker","=""1563892251""","=""9781563892257""",0,4.43,Vertigo,Hardcover,232,1999,1990,2020/03/09,2020/12/02,,,read,,,,1,0
23754,The Sandman Vol. 1: Preludes & Nocturnes,Neil Gaiman,"Gaiman, Neil","Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger, Daniel Vozzo","=""1563892278""","=""9781563892271""",0,4.25,Vertigo,Hardcover,233,1998,1988,2020/05/21,2020/12/02,,,read,,,,1,0
40701777,"The Trouble with Peace (The Age of Madness, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575095911""","=""9780575095915""",0,4.60,Gollancz,Hardcover,506,2020,2020,,2020/12/02,to-read,to-read (#2),to-read,,,,0,0
55676771,"Joe Abercrombie The Age Of Madness 2 Books Collection Set (A Little Hatred, The Trouble With Peace)",Joe Abercrombie,"Abercrombie, Joe",,"=""9124051799""","=""9789124051792""",0,4.66,Gollancz Books,Paperback,,2020,,,2020/12/02,to-read,to-read (#1),to-read,,,,0,0
36896898,Spinning Silver,Naomi Novik,"Novik, Naomi",,"=""""","=""""",5,4.21,Del Rey,Kindle Edition,465,2018,2018,2020/07/29,2020/07/29,,,read,"From language point I a little lost then in the plot more than one line, but in this case it was better than usual. <br/>Very cool personalisation imperium concept. After school course Russian history this very interesting to read.<br/>And very good after Uprooted. ",,,1,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",5,3.81,Hogarth,Hardcover,273,2019,2018,2020/07/26,2020/07/29,,,read,"Although, I think it's the second roman what I to read for all my life. <br/>This book mentioned twice on the language course on futurelearn.<br/>And after the course it was very good.  ",,,1,0
768496,The Golden Gate,Vikram Seth,"Seth, Vikram",,"=""0679734570""","=""9780679734574""",5,4.01,Vintage,Paperback,307,1991,1986,,2020/06/15,,,read,,,,1,0
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,"=""0804179034""","=""9780804179034""",5,4.04,Del Rey,Hardcover,438,2015,2015,2020/06/03,2020/06/02,,,read,I combined reading Uprooted with watching lifereading by Naomi Novik her new book: A Deadly Education.<br/>It was very cool.<br/>Read book there is Baba Jaga character it's amazing:)<br/>And I definitely like books what read Naomi Novik then write books.<br/>(Once more cool stuff on Naomi Novik Instagram: Q&A life events. ),,,1,0
25353286,Provenance (Imperial Radch),Ann Leckie,"Leckie, Ann",,"=""""","=""""",4,3.83,Orbit,Kindle Edition,481,2017,2017,,2020/04/12,,,read,"Unhappily, I didn't catch many concepts with high deep immersive as usual. There were many reasons for that. And although in this time I didn't got a lot of pleasure, I return all and much more in the next term :) ",,,1,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",4,3.62,Penguin Books,Paperback,307,1976,1957,2020/03/25,2020/03/25,,,read,"<br/>Before to read the book I have seen a few reviews. <br/>Around the hundredth page, I thought: looks like it can be read just like a book.<br/>Around the two hundredth page: why when I lived like this, there were no publishers who paid money for describing like that.<br/>Thirty pages to the end: O, about thirty pages left.<br/>Then on the moment that they wrote each other letters of eight thousand words: I become to respected that old-fashioned time.<br/>And when I finished. I think it's good reading and this book has made my reading experience more complete.",,,1,0
